Frames,Class
_UCF11_horse_riding_v_riding_10_v_riding_10_01_0.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_1.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_2.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_3.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_4.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_5.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_6.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_7.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_8.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_9.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_10.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_11.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_12.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_13.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_14.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_15.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_16.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_17.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_18.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_19.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_20.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_21.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_22.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_23.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_24.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_25.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_26.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_27.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_28.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_29.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_30.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_31.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_32.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_33.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_34.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_35.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_36.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_37.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_38.png|_UCF11_horse_riding_v_riding_10_v_riding_10_01_39.png|,riding
_UCF11_horse_riding_v_riding_04_v_riding_04_01_0.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_1.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_2.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_3.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_4.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_5.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_6.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_7.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_8.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_9.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_10.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_11.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_12.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_13.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_14.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_15.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_16.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_17.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_18.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_19.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_20.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_21.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_22.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_23.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_24.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_25.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_26.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_27.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_28.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_29.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_30.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_31.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_32.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_33.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_34.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_35.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_36.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_37.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_38.png|_UCF11_horse_riding_v_riding_04_v_riding_04_01_39.png|,riding
_UCF11_horse_riding_v_riding_06_v_riding_06_01_0.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_1.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_2.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_3.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_4.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_5.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_6.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_7.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_8.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_9.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_10.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_11.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_12.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_13.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_14.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_15.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_16.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_17.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_18.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_19.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_20.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_21.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_22.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_23.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_24.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_25.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_26.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_27.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_28.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_29.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_30.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_31.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_32.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_33.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_34.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_35.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_36.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_37.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_38.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_39.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_40.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_41.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_42.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_43.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_44.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_45.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_46.png|_UCF11_horse_riding_v_riding_06_v_riding_06_01_47.png|,riding
_UCF11_horse_riding_v_riding_16_v_riding_16_01_0.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_1.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_2.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_3.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_4.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_5.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_6.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_7.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_8.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_9.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_10.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_11.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_12.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_13.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_14.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_15.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_16.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_17.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_18.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_19.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_20.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_21.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_22.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_23.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_24.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_25.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_26.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_27.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_28.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_29.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_30.png|_UCF11_horse_riding_v_riding_16_v_riding_16_01_31.png|,riding
_UCF11_horse_riding_v_riding_01_v_riding_01_01_0.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_1.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_2.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_3.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_4.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_5.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_6.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_7.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_8.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_9.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_10.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_11.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_12.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_13.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_14.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_15.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_16.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_17.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_18.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_19.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_20.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_21.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_22.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_23.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_24.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_25.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_26.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_27.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_28.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_29.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_30.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_31.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_32.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_33.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_34.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_35.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_36.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_37.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_38.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_39.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_40.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_41.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_42.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_43.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_44.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_45.png|_UCF11_horse_riding_v_riding_01_v_riding_01_01_46.png|,riding
_UCF11_horse_riding_v_riding_12_v_riding_12_01_0.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_1.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_2.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_3.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_4.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_5.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_6.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_7.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_8.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_9.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_10.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_11.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_12.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_13.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_14.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_15.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_16.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_17.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_18.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_19.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_20.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_21.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_22.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_23.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_24.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_25.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_26.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_27.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_28.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_29.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_30.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_31.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_32.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_33.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_34.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_35.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_36.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_37.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_38.png|_UCF11_horse_riding_v_riding_12_v_riding_12_01_39.png|,riding
_UCF11_horse_riding_v_riding_14_v_riding_14_01_0.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_1.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_2.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_3.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_4.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_5.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_6.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_7.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_8.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_9.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_10.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_11.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_12.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_13.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_14.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_15.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_16.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_17.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_18.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_19.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_20.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_21.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_22.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_23.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_24.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_25.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_26.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_27.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_28.png|_UCF11_horse_riding_v_riding_14_v_riding_14_01_29.png|,riding
_UCF11_horse_riding_v_riding_15_v_riding_15_01_0.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_1.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_2.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_3.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_4.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_5.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_6.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_7.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_8.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_9.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_10.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_11.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_12.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_13.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_14.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_15.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_16.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_17.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_18.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_19.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_20.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_21.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_22.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_23.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_24.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_25.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_26.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_27.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_28.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_29.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_30.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_31.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_32.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_33.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_34.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_35.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_36.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_37.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_38.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_39.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_40.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_41.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_42.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_43.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_44.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_45.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_46.png|_UCF11_horse_riding_v_riding_15_v_riding_15_01_47.png|,riding
_UCF11_horse_riding_v_riding_07_v_riding_07_01_0.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_1.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_2.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_3.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_4.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_5.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_6.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_7.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_8.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_9.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_10.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_11.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_12.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_13.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_14.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_15.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_16.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_17.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_18.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_19.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_20.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_21.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_22.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_23.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_24.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_25.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_26.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_27.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_28.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_29.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_30.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_31.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_32.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_33.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_34.png|_UCF11_horse_riding_v_riding_07_v_riding_07_01_35.png|,riding
_UCF11_horse_riding_v_riding_20_v_riding_20_01_0.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_1.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_2.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_3.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_4.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_5.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_6.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_7.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_8.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_9.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_10.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_11.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_12.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_13.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_14.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_15.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_16.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_17.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_18.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_19.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_20.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_21.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_22.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_23.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_24.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_25.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_26.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_27.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_28.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_29.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_30.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_31.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_32.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_33.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_34.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_35.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_36.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_37.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_38.png|_UCF11_horse_riding_v_riding_20_v_riding_20_01_39.png|,riding
